molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL232586,CC(C)(C)NCC(=O)N1CCC[C@H]1C(=O)c1noc(C2(C)CCCCC2)n1,IC50,nM,95.0,376.5010000000002,7.022276394711152
CHEMBL232595,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(Cl)c3)CN1CC2,IC50,nM,4.0,372.89600000000013,8.397940008672037
CHEMBL232648,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(Cl)ccc1Cl,IC50,nM,180.0,422.23800000000017,6.7447274948966935
CHEMBL232716,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2CCCCCCC2)CN1,IC50,nM,11.0,332.44800000000015,7.958607314841775
CHEMBL232725,Cc1nnc(C(=O)[C@@H]2CCCN2C(=O)CNC23CC4CC(CC(C4)C2)C3)o1,IC50,nM,84.0,372.46900000000016,7.075720713938118
CHEMBL232759,CC(C)(CO)NCC(=O)N1CCC[C@H]1C(=O)c1nnc(C(C)(C)C)o1,IC50,nM,47.0,352.4350000000001,7.327902142064283
CHEMBL232845,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(Cl)cc1F,IC50,nM,76.0,423.77300000000014,7.119186407719209
CHEMBL232914,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,IC50,nM,10.0,278.35600000000005,8.0
CHEMBL232919,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCC1,IC50,nM,13.0,290.36700000000013,7.886056647693163
CHEMBL232920,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCCCC1,IC50,nM,13.0,318.4210000000002,7.886056647693163
CHEMBL233058,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1Cl,IC50,nM,84.0,423.77300000000014,7.075720713938118
CHEMBL233127,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1Cc2ccccc2C1,IC50,nM,5.6,352.43800000000016,8.2518119729938
CHEMBL233136,Cc1nnc(C(=O)[C@@H]2C[C@H](F)CN2C(=O)CNC23CC4CC(CC(C4)C2)C3)o1,IC50,nM,53.0,390.45900000000023,7.275724130399211
CHEMBL2333023,O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccnc1,IC50,nM,1800.0,277.08900000000006,5.7447274948966935
CHEMBL2333024,CC(C)[C@H](NC(=O)c1cccnc1)C(=O)N1CCC[C@H]1B(O)O,IC50,nM,100000.0,319.17,4.0
